batch_size,method, score, level, clears, time, mps, cliff_l_e, cliff_h_e, cliff_l_w, cliff_h_w, m_stack_w, m_stack_e, a_stack_w, a_stack_e, stack_d_w, stack_d_e, stack_d_thresh, score_w, go_w
5,greedy,1460,2.2,9.4,14.39578028,4,3.70158252,2.892985985,-6.500698129,0,-8.845384188,3.999325635,-6.791146754,2.760827238,-6.929235496,3.866477276,4.806869066,9.802184116,-2.40656888
5,greedy,2420,2.2,12.8,18.99045367,4,4.03972232,2.300456934,-10,-1.500798947,-8.950872449,3.786847382,-9.680101447,4.022060425,-5.297446159,3.134679178,5.38873827,8.339784939,-5.770913851
5,greedy,1680,1.8,9.8,17.23426766,4,3.938914415,1.629121129,-10,-3.090710469,-10,4.500976441,-7.364111863,4.221291249,-6.783585795,2.238213262,4.272995841,9.919017985,-5.880775406
5,greedy,1320,2,8.6,16.54548984,4,3.526048903,2.752331157,-10,0,-7.459773804,3.05421034,-8.499848275,3.665209752,-4.782086702,2.384258708,4.226748281,6.571643524,-6.687595076
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5,greedy,13100,4,40.8,37.92773733,4,1.103768623,2.424274624,-9.428752548,-5.497529379,-7.005038436,3.54581203,-9.480958239,2.497161292,-4.118215187,3.080116519,8.268216785,6.641952203,-2.816600164
5,greedy,28000,8.4,85.2,75.90321426,8,1.103768623,2.424274624,-9.428752548,-5.497529379,-7.005038436,3.54581203,-9.480958239,2.497161292,-4.118215187,3.080116519,8.268216785,6.641952203,-2.816600164
5,greedy,10660,3.8,36.4,42.07224064,4,1.341397486,2.323131206,-8.497893775,-5.257411856,-7.477421209,3.102895241,-10,2.439503105,-3.76566945,3.397272584,9.314041855,6.316858477,-3.014703518
5,greedy,24760,7.8,78.8,90.85292869,8,1.341397486,2.323131206,-8.497893775,-5.257411856,-7.477421209,3.102895241,-10,2.439503105,-3.76566945,3.397272584,9.314041855,6.316858477,-3.014703518
5,greedy,9140,3.4,32,42.06026688,4,1.428471812,2.363361425,-9.832438148,-5.788855722,-5.959952156,3.934617717,-9.304315877,2.142371223,-3.902226894,2.826397326,8.701738937,6.742968822,-3.15627908
5,greedy,29920,7.8,86.2,102.1832021,8,1.428471812,2.363361425,-9.832438148,-5.788855722,-5.959952156,3.934617717,-9.304315877,2.142371223,-3.902226894,2.826397326,8.701738937,6.742968822,-3.15627908
5,greedy,10780,3.8,36.4,42.2271975,4,0.558543451,2.644683066,-10,-5.618595416,-6.974377163,4.245647627,-8.852896064,3.220685607,-3.945996189,2.944963173,6.376860326,6.421766121,-1.55684767
